atletas.apelido,atletas.apelido_abreviado,atletas.atleta_id,atletas.clube.id.full.name,atletas.clube_id,atletas.craque,atletas.entrou_em_campo,atletas.foto,atletas.jogos_num,atletas.media_num,atletas.nome,atletas.pontos_num,atletas.posicao_id,atletas.preco_num,atletas.rodada_id,atletas.slug,atletas.status_id,atletas.variacao_num,A,CA,CV,DE,DP,DS,FC,FD,FF,FS,FT,G,GC,GS,I,PC,PP,PS,SG,V
Tillman,Tillman,109592,Estados Unidos,2365,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/28/photo_FORMATO_kipkNxo.png,4,9.8,Malik Leon Tillman,13.5,4,11.77,4,tillman,7,2.69,1.0,,,,,12.0,1.0,2.0,2.0,9.0,,1.0,,,,,,,,
Hadziahmetovic,Hadziahmetovic,109674,Bósnia,2865,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/11/photo_FORMATO_0vD9fmM.png,0,0.0,Amir Hadžiahmetović,0.0,4,4.0,4,hadziahmetovic,6,0.0,,,,,,,,,,,,,,,,,,,,
Banza,Banza,109758,RD Congo,3184,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/03/photo_FORMATO_1Yn8GiS.png,1,0.0,Simon Bokoté Banza,0.0,5,2.42,4,banza,6,0.0,,,,,,,,,,,,,,,,,,,,
Van Hecke,V. Hecke,109850,Holanda,2381,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/29/photo_FORMATO_KbFbprN.png,4,3.95,Jan Paul van Hecke - Jan-Paul,3.2,3,6.37,4,van-hecke,7,-0.7,,,,,,4.0,4.0,1.0,1.0,2.0,,1.0,,,,,,,,
Pape Gueye,P. Gueye,109852,Senegal,2347,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/21/photo_FORMATO_8pkOVds.png,4,6.78,Pape Alassane Gueye,0.7,4,8.51,4,pape-gueye,6,-2.29,1.0,1.0,,,,3.0,4.0,1.0,2.0,2.0,,2.0,,,,,,,,
Diego Gómez,D. Gómez,110047,Paraguai,2354,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_oyX5EK2.png,3,2.9,Diego Alexander Gómez Amarilla,0.0,4,6.53,4,diego-gomez,7,0.0,,2.0,,,,6.0,4.0,,3.0,1.0,,,,,,,,,,
Ndoye,Ndoye,110083,Suíça,2320,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/19/photo_FORMATO_LcM5S6x.png,3,7.17,Dan Assane N'Doye,13.7,5,8.47,4,ndoye,7,2.89,,,,,,3.0,1.0,2.0,3.0,9.0,,1.0,,,,,,,,
Guessand,Guessand,110084,Costa do Marfim,2350,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/15/photo_FORMATO_dmIind3.png,2,0.6,Evann Ludovic Vidjannagni Guessand,0.0,5,3.95,4,guessand,6,-0.51,,,,,,1.0,1.0,,,,,,,,,,,,,
Erlic,Erlic,110136,Croácia,2379,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/18/photo_FORMATO_AC6AdXu.png,0,0.0,Martin Erlić,0.0,3,4.0,4,erlic,6,0.0,,,,,,,,,,,,,,,,,,,,
Pandur,Pandur,110176,Croácia,2379,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/18/photo_FORMATO_9VkkBqc.png,0,0.0,Ivor Pandur,0.0,1,3.0,4,pandur,6,0.0,,,,,,,,,,,,,,,,,,,,
Bellingham,Bellingham,110219,Inglaterra,2370,0.9335929741,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/03/photo_FORMATO_a67eJbs.png,4,11.07,Jude Victor William Bellingham,3.7,4,17.3,4,bellingham,7,-2.35,1.0,1.0,,,,10.0,4.0,5.0,2.0,6.0,,2.0,,,1.0,,,,,
Hauge,Hauge,110250,Noruega,2323,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/29/photo_FORMATO_v2JeQdt.png,1,0.0,Jens Petter Hauge,0.0,5,5.72,4,hauge,6,0.0,,,,,,,,,,,,,,,,,,,,
Kökçü,Kökçü,110272,Turquia,2328,0.0,False,https://s.sde.globo.com/media/person_role/2026/06/03/photo_FORMATO_tkGlRiV.png,3,3.67,Orkun Kökçü,0.0,4,7.28,4,kokcu,6,0.0,1.0,,,,,2.0,2.0,,2.0,4.0,,,,,,,,,,
Hadzikadunic,Hadzikadunic,110289,Bósnia,2865,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/11/photo_FORMATO_HebtFbg.png,1,6.2,Dennis Hadžikadunić,0.0,3,4.62,4,hadzikadunic,6,0.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,
Koopmeiners,Koopmeiners,110297,Holanda,2381,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/29/photo_FORMATO_aOVBzVg.png,4,0.35,Teun Koopmeiners,1.2,4,4.49,4,koopmeiners,6,-0.22,,,,,,1.0,3.0,,1.0,,,,,,,,,,,
Doku,Doku,110298,Bélgica,2392,0.7,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/20/photo_FORMATO_9jFijx6.png,3,3.0,Jérémy Baffour Doku,2.0,5,11.84,4,doku,7,-1.02,,,,,,1.0,1.0,1.0,2.0,10.0,,,,,,,,,,
Starfelt,Starfelt,110309,Suécia,2368,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/14/photo_FORMATO_HcnkoFm.png,1,0.0,Carl Anders Theodor Starfelt,0.0,3,3.27,4,starfelt,6,0.0,,,,,,,,,,,,,,,,,,,,
Eze,Eze,110401,Inglaterra,2370,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/03/photo_FORMATO_BhJ2kEd.png,3,0.6,Eberechi Oluchi Eze,0.5,4,8.36,4,eze,2,-0.92,,,,,,,,,1.0,2.0,,,,,,,,,,
Providence,Providence,110457,Haiti,2334,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_LS7TzhQ.png,3,2.47,Ruben Fritzner Providence,0.0,5,2.97,4,providence,6,0.0,,,,,,2.0,3.0,1.0,2.0,5.0,,,,,,,,,,
De Winter,D. Winter,110507,Bélgica,2392,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/20/photo_FORMATO_lTDd5gP.png,0,0.0,Koni De Winter,0.0,3,5.0,4,de-winter,6,0.0,,,,,,,,,,,,,,,,,,,,
Dedic,Dedic,110526,Bósnia,2865,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/11/photo_FORMATO_qDGnWov.png,2,3.55,Amar Dedić,3.9,2,6.32,4,dedic,6,0.37,,,,,,5.0,3.0,,,1.0,,,,,,,,,,
Luka Sucic,L. Sucic,110528,Croácia,2379,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/18/photo_FORMATO_7LICAdi.png,0,0.0,Luka Sučić,0.0,4,5.0,4,luka-sucic,6,0.0,,,,,,,,,,,,,,,,,,,,
Seiwald,Seiwald,110529,Áustria,2391,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/21/photo_FORMATO_zX8Kj9g.png,4,2.12,Nicolas Seiwald,0.0,4,4.28,4,seiwald,6,-0.53,,,,,,5.0,1.0,,1.0,1.0,,,,,,,,,,
Trafford,Trafford,110543,Inglaterra,2370,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/22/photo_FORMATO_JWn7VdT.png,0,0.0,James Harrington Trafford,0.0,1,5.0,4,trafford,6,0.0,,,,,,,,,,,,,,,,,,,,
Luis Suárez,L. Suárez,110567,Colômbia,2373,0.9870292887,False,https://s.sde.globo.com/media/person_role/2026/05/25/photo_FORMATO_Azti81U.png,1,1.6,Luis Javier Suárez Charris,0.0,5,7.92,4,luis-suarez,6,0.0,,,,,,,,,2.0,,,,,,,,,,,
Yéremy Pino,Y. Pino,110620,Espanha,2326,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/25/photo_FORMATO_RaSs6DP.png,2,-0.35,Yéremi Jesús Pino Santos,0.0,5,3.93,4,yeremy-pino,6,0.0,,,,,,,2.0,,,,,,,,1.0,,,,,
Shomurodov,Shomurodov,110710,Uzbequistão,3061,0.0,False,https://s.sde.globo.com/media/person_role/2026/06/03/photo_FORMATO_DKD7wmc.png,2,6.75,Eldor Shomurodov,0.0,5,8.37,4,shomurodov,6,0.0,,,,,,3.0,5.0,,2.0,2.0,,1.0,,,1.0,,,,,
Brobbey,Brobbey,110748,Holanda,2381,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/29/photo_FORMATO_5UafQje.png,4,6.77,Brian Ebenezer Adjei Brobbey,0.3,5,7.7,4,brobbey,7,-1.06,,,,,,2.0,4.0,,,3.0,,3.0,,,2.0,,,,,
Chalobah,Chalobah,110766,Inglaterra,2370,0.0,False,https://s.sde.globo.com/media/person_role/2026/06/16/photo_220x220.png,0,0.0,Trevoh Thomas Chalobah,0.0,3,6.0,4,chalobah,6,0.0,,,,,,,,,,,,,,,,,,,,
Jonathan David,J. David,110782,Canadá,2361,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/03/photo_FORMATO_ZfNw3Br.png,2,3.55,Jonathan Christian David,0.0,5,8.1,4,jonathan-david,7,0.0,,,,,,1.0,,1.0,3.0,4.0,,,,,,,,,,
Balogun,Balogun,110802,Estados Unidos,2365,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/28/photo_FORMATO_OvarjPU.png,3,10.13,Folarin Jolaoluwa Jerry Balogun,9.7,5,12.92,4,balogun,3,1.8,,1.0,1.0,,,1.0,3.0,1.0,3.0,7.0,1.0,3.0,,,3.0,,,,,
Alexandre Pierre,A. Pierre,110808,Haiti,2334,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_dGGtEoN.png,0,0.0,Alexandre Jr. Pierre - Junior,0.0,1,2.0,4,alexandre-pierre,6,0.0,,,,,,,,,,,,,,,,,,,,
Hickey,Hickey,110810,Escócia,2327,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_YDRksuo.png,1,6.9,Aaron Buchanan Hickey,0.0,2,7.23,4,hickey,6,0.0,,1.0,,,,1.0,2.0,,,4.0,,,,,,,,,1.0,
Elliot Anderson,E. Anderson,110831,Inglaterra,2370,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/03/photo_FORMATO_mW3VgMo.png,4,7.7,Elliot Junior Anderson,6.8,4,10.52,4,elliot-anderson,7,0.42,1.0,,,,,13.0,6.0,1.0,3.0,9.0,,,,,,,,,,
Koné,Koné,110966,França,2385,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/14/photo_FORMATO_ovorUyl.png,2,5.7,Kouadio Emmanuel Boris Koné - Manu,0.0,4,7.21,4,kone,6,0.0,,,,,,6.0,2.0,1.0,1.0,2.0,,,,,,,,,,
Wahi,Wahi,110968,Costa do Marfim,2350,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/15/photo_220x220_DqWrjEx.png,3,2.3,Sepe Elye Delmas Wahi,0.0,5,5.46,4,wahi,6,-0.55,,,,,,1.0,,2.0,,,1.0,,,,,,,,,
Quiñones,Quiñones,111019,México,2360,0.0,True,https://s.sde.globo.com/media/person_role/2026/06/02/photo_FORMATO_YfFlAD0.png,3,13.63,Julián Andrés Quiñones Quiñones,15.9,5,14.67,4,quinones,7,2.41,1.0,,,,,3.0,4.0,1.0,3.0,4.0,1.0,3.0,,,,,,,,
Edmilson Junior,E. Junior,111025,Catar,3238,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/14/photo_FORMATO_kQv5ARR.png,2,4.05,Edmílson Junior Paulo da Silva - Jr.,0.0,5,4.9,4,edmilson-junior,6,0.0,1.0,,,,,1.0,4.0,2.0,,1.0,,,,,1.0,,,,,
Al-Brake,Al-Brake,111035,Catar,3238,0.0,False,https://s.sde.globo.com/media/person_role/2026/06/01/photo_FORMATO_cDZ8SpT.png,1,0.9,Sultan Hussain Mohamad Hussain Al Brake - Al-Braik,0.0,2,2.77,4,al-brake,6,0.0,,,,,,1.0,2.0,,,,,,,,,,,,,
Salah Zakaria,S. Zakaria,111042,Catar,3238,0.0,False,https://s.sde.globo.com/media/person_role/2026/06/03/photo_FORMATO_dkVlNXP.png,0,0.0,Salah Zakaria Mohamed Mousa Hassan,0.0,1,3.0,4,salah-zakaria,6,0.0,,,,,,,,,,,,,,,,,,,,
Yasser Ibrahim,Y. Ibrahim,111046,Egito,2324,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/22/photo_FORMATO_3rQgGC5.png,4,2.5,Yasser Ibrahim Ahmed El Hanafi - Elhanafy,1.3,3,3.92,4,yasser-ibrahim,7,-0.28,,2.0,,,,8.0,5.0,,,3.0,,,,,,,,,,
Fathy,Fathy,111052,Egito,2324,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/22/photo_FORMATO_ASbhUNo.png,3,2.1,Hamdy Fathi Abdelhalim Abdelfattah - Hamdi,-0.1,3,3.3,4,fathy,7,-0.45,,,,,,4.0,2.0,,,2.0,,,,,1.0,,,,,
Hany,Hany,111054,Egito,2324,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/22/photo_FORMATO_uEKEc08.png,4,4.33,Mohamed Hany Gamal Eldemerdash,-1.8,2,5.98,4,hany,7,-1.08,1.0,,,,,11.0,2.0,,3.0,,,,2.0,,,,,,,
Shobeir,Shobeir,111055,Egito,2324,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/22/photo_FORMATO_PiS9r5H.png,4,4.5,Mostafa Ahmed Abdelaziz Mohamed Shoubir - Oufa,0.3,1,5.79,4,shobeir,7,-1.05,,,,10.0,1.0,,,,,4.0,,,,4.0,,,,,,
Seol Young-Woo,S. Young-Woo,111069,Coreia do Sul,2374,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/19/photo_FORMATO_EFFcb1j.png,2,2.2,Seol Young-Woo,0.0,2,3.92,4,seol-young-woo,6,0.0,,,,,,2.0,1.0,,1.0,2.0,,,,,1.0,,,,,
Kim Tae-Hyeon,K. Tae-Hyeon,111071,Coreia do Sul,2374,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/19/photo_FORMATO_yaEIsKD.png,0,0.0,Tae-hyun Kim,0.0,3,3.0,4,kim-tae-hyeon,6,0.0,,,,,,,,,,,,,,,,,,,,
Fortuné,Fortuné,111083,Haiti,2334,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_PfPKtFt.png,1,0.5,Yassin Enzo Fortuné,0.0,4,2.6,4,fortune,6,0.0,,,,,,,,,,1.0,,,,,,,,,,
Musa,Musa,111085,Croácia,2379,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/18/photo_FORMATO_m2LBRCm.png,1,9.7,Petar Musa,0.0,5,8.2,4,musa,6,0.0,,,,,,1.0,1.0,,,1.0,,1.0,,,,,,,,
Francisco Conceição,F. Conceição,111233,Portugal,2390,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/19/photo_FORMATO_MI2FWEL.png,3,1.8,Francisco Fernandes da Conceição - Chico,0.8,5,7.85,4,francisco-conceicao,6,-0.84,,,,,,3.0,1.0,,1.0,1.0,,,,,1.0,,,,,
Iliman Ndiaye,I. Ndiaye,111678,Senegal,2347,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/21/photo_FORMATO_fzCxgJ0.png,3,7.13,Iliman Cheikh Baroy N'Diaye,2.5,5,9.47,4,iliman-ndiaye,6,-1.06,2.0,,,,,1.0,2.0,1.0,1.0,1.0,,1.0,,,,,,,,
Medina,Medina,111912,Equador,2372,0.0,True,https://s.sde.globo.com/media/person_role/2026/06/03/photo_FORMATO_1XUlqKI.png,1,0.5,Yaimar Abel Medina Ortiz,0.5,2,3.61,4,medina,6,-0.39,,,,,,,1.0,,1.0,,,,,,,,,,,
Vite,Vite,111913,Equador,2372,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/03/photo_FORMATO_GKn14Nl.png,4,6.38,Pedro Jeampierre Vite Uca,1.0,4,7.65,4,vite,7,-1.47,1.0,,,,,10.0,2.0,1.0,3.0,5.0,,,,,,,,,,
Gusto,Gusto,112200,França,2385,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/14/photo_FORMATO_mWtZGzE.png,3,3.63,Malo Arthur Gusto,4.7,2,8.84,4,gusto,6,0.27,,,,,,1.0,2.0,,,,,,,,,,,,2.0,
Nuno Mendes,N. Mendes,112377,Portugal,2390,0.820713107,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/19/photo_FORMATO_srXdKzQ.png,4,7.13,Nuno Alexandre Tavares Mendes,1.0,2,12.8,4,nuno-mendes,7,-1.33,,,,,,4.0,3.0,,,11.0,,1.0,,,1.0,,,,2.0,
Bayindir,Bayindir,112431,Turquia,2328,0.0,False,https://s.sde.globo.com/media/person_role/2026/06/03/photo_FORMATO_nGdpGoz.png,0,0.0,Altay Bayındır,0.0,1,4.0,4,bayindir,6,0.0,,,,,,,,,,,,,,,,,,,,
Vasilj,Vasilj,112682,Bósnia,2865,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/11/photo_FORMATO_T4c0MUi.png,3,0.4,Nikola Vasilj,-2.0,1,3.3,4,vasilj,6,-0.99,,,,4.0,,,,,,,,,,4.0,,,,,,
Ávalos,Ávalos,112741,Paraguai,2354,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_b3Nn3pN.png,3,1.6,Gabriel Ávalos Stumpfs,2.0,5,3.46,4,avalos,7,-0.02,,,,,,2.0,,,1.0,2.0,,,,,,,,,,
Gharbi,Gharbi,112827,Tunísia,2337,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/15/photo_FORMATO_CNOcUD9.png,3,2.37,Ismaël Seifallah Gharbi,0.0,4,3.26,4,gharbi,6,0.0,,,,,,3.0,,,2.0,2.0,,,,,,,,,,
Elanga,Elanga,112836,Suécia,2368,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/14/photo_FORMATO_G20gxt1.png,4,6.27,Anthony David Junior Elanga,2.0,5,8.27,4,elanga,7,-1.3,,,,,,3.0,,1.0,,7.0,,2.0,,,1.0,,,,,
Ramón Sosa,R. Sosa,112863,Paraguai,2354,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_0it8gma.png,1,0.5,Ramón Sosa Acosta,0.0,5,4.21,4,ramon-sosa,6,0.0,,,,,,,,,,1.0,,,,,,,,,,
Stanisic,Stanisic,112895,Croácia,2379,0.801060205,True,https://s.sde.globo.com/media/person_role/2026/05/18/photo_FORMATO_r4MFec9.png,3,3.33,Josip Stanišić,8.0,2,6.78,4,stanisic,7,1.43,1.0,,,,,3.0,,,,1.0,,,,,,,,,,
Pape Sarr,P. Sarr,112901,Senegal,2347,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/21/photo_FORMATO_IcAMrRw.png,2,2.4,Pape Matar Sarr,3.1,4,5.67,4,pape-sarr,6,0.22,,,,,,1.0,1.0,1.0,3.0,,,,,,,,,,,
Timber,Timber,112943,Holanda,2381,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/29/photo_FORMATO_Tv5rHxG.png,2,1.25,Quinten Ryan Crispito Timber,2.5,4,4.29,4,timber,6,0.25,,,,,,1.0,,,,2.0,,,,,,,,,,
Chukwuemeka,Chukwuemeka,113059,Áustria,2391,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/20/photo_FORMATO_UC8CBv8.png,3,0.9,Carney Chibueze Chukwuemeka,2.5,4,4.28,4,chukwuemeka,6,0.16,,,,,,1.0,2.0,,1.0,2.0,,,,,,,,,,
Flaco López,F. López,113103,Argentina,2357,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/30/photo_FORMATO_PDimfgg.png,1,0.8,José Manuel Alberto López,0.0,5,6.0,4,flaco-lopez,6,0.0,,,,,,,,,1.0,,,,,,,,,,,
Néstor Lorenzo,N. Lorenzo,113242,Colômbia,2373,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/13/photo_FORMATO_UTK2WND.png,1,5.72,Néstor Gabriel Lorenzo,0.0,6,6.09,4,nestor-lorenzo,6,0.0,,,,,,,,,,,,,,,,,,,,
Kalajdzic,Kalajdzic,113473,Áustria,2391,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/20/photo_FORMATO_hXL3W9g.png,3,3.33,Saša Kalajdžić - Sasa,0.5,5,5.09,4,kalajdzic,6,-0.86,,,,,,,2.0,,2.0,2.0,,1.0,,,,,,,,
Hlozek,Hlozek,113483,República Tcheca,2352,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/22/photo_220x220_BnISX3C.png,2,2.2,Adam Hložek,0.0,5,3.24,4,hlozek,6,0.0,,,,,,1.0,1.0,1.0,,4.0,,,,,,,,,,
Zima,Zima,113486,República Tcheca,2352,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/22/photo_220x220_uIhtOpO.png,0,0.0,David Zima,0.0,3,4.0,4,zima,6,0.0,,,,,,,,,,,,,,,,,,,,
Benchimol,Benchimol,113487,Cabo Verde,3201,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/28/photo_FORMATO_jRKrgk9.png,2,0.25,Gilson Benchimol Tavares,0.0,5,2.31,4,benchimol,6,-0.29,,,,,,,,,,1.0,,,,,,,,,,
João Paulo,J. Paulo,113490,Cabo Verde,3201,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/28/photo_FORMATO_LhtcBtS.png,2,7.15,João Paulo Moreira Fernandes,0.0,2,5.21,4,joao-paulo,6,0.0,,,,,,1.0,,,1.0,4.0,,,,,,,,,2.0,
Pico Lopes,P. Lopes,113494,Cabo Verde,3201,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/28/photo_FORMATO_6SvZCJb.png,4,5.7,Roberto Carlos Lopes,2.0,3,5.35,4,pico-lopes,7,-0.39,,,,,,7.0,,,1.0,3.0,,,,,,,,,2.0,
Bubista,Bubista,113496,Cabo Verde,3201,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/13/photo_FORMATO_cmIXjIc.png,4,5.51,Pedro Leitão Brito,5.41,6,5.56,4,bubista,7,0.58,,,,,,,,,,,,,,,,,,,,
Vozinha,Vozinha,113497,Cabo Verde,3201,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/28/photo_FORMATO_pEG3Jmy.png,4,8.17,Josimar José Évora Dias,9.9,1,8.83,4,vozinha,7,1.2,,,,19.0,,1.0,,,,3.0,,,,5.0,,,,,2.0,
Márcio Rosa,M. Rosa,113498,Cabo Verde,3201,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/15/photo_FORMATO_nSuUTj2.png,0,0.0,Márcio Salomão Brazão da Rosa,0.0,1,2.0,4,marcio-rosa,6,0.0,,,,,,,,,,,,,,,,,,,,
Stopira,Stopira,113499,Cabo Verde,3201,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/28/photo_FORMATO_5EWW4mW.png,0,0.0,Ianique dos Santos Tavares,0.0,3,2.0,4,stopira,6,0.0,,,,,,,,,,,,,,,,,,,,
Diney Borges,D. Borges,113500,Cabo Verde,3201,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/28/photo_FORMATO_dYmwDZt.png,4,4.2,Edilson Alberto Monteiro Sanches Borges,2.4,3,4.72,4,diney-borges,7,-0.04,,1.0,,,,6.0,2.0,2.0,,,,,1.0,,,,,,2.0,
Willy Semedo,W. Semedo,113503,Cabo Verde,3201,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/28/photo_FORMATO.png,3,2.1,Willy Johnson Semedo Afonso,-0.6,5,4.46,4,willy-semedo,6,-0.83,,,,,,3.0,4.0,1.0,1.0,2.0,,,,,,,,,,
Telmo Arcanjo,T. Arcanjo,113504,Cabo Verde,3201,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/28/photo_FORMATO_byzF1Le.png,2,1.0,Telmo Emanuel Gomes Arcanjo,0.0,4,1.88,4,telmo-arcanjo,6,0.0,,,,,,1.0,,,,1.0,,,,,,,,,,
Kevin Pina,K. Pina,113509,Cabo Verde,3201,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/23/photo_FORMATO_nqk8Jd0.png,4,5.93,Kevin Lenini Gonçalves Pereira de Pina,2.2,4,6.1,4,kevin-pina,7,-0.1,,1.0,,,,9.0,5.0,,4.0,3.0,,1.0,,,,,,,,
Gvardiol,Gvardiol,113535,Croácia,2379,0.8573592246,True,https://s.sde.globo.com/media/person_role/2026/05/18/photo_FORMATO_UwpJKuM.png,3,0.17,Joško Gvardiol - Josko,0.0,2,5.59,4,gvardiol,6,-0.72,,,,,,,,,,1.0,,,,,,,,,,
Aktürkoglu,Aktürkoglu,113578,Turquia,2328,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/03/photo_FORMATO_Wf9wZLq.png,2,1.85,Muhammed Kerem Aktürkoğlu,0.0,5,7.13,4,akturkoglu,6,0.0,,,,,,1.0,,1.0,,2.0,,,,,,,,,,
Patterson,Patterson,113593,Escócia,2327,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_ir69edJ.png,3,3.97,Nathan Kenneth Patterson,0.0,2,5.07,4,patterson,6,0.0,,,,,,5.0,2.0,,,,,,,,,,,,1.0,
Hendry,Hendry,113594,Escócia,2327,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_TjSNhSy.png,3,2.57,Jack William Hendry,0.0,3,4.21,4,hendry,6,0.0,,,,,,1.0,1.0,,,3.0,,,,,,,,,1.0,
McKenna,McKenna,113596,Escócia,2327,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_RoEPicp.png,1,0.0,Scott Fraser McKenna,0.0,3,4.09,4,mckenna,6,0.0,,,,,,,,,,,,,,,,,,,,
Dykes,Dykes,113598,Escócia,2327,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_UDiGG1I.png,2,0.1,Lyndon John Dykes,0.0,5,2.08,4,dykes,6,0.0,,,,,,,2.0,,1.0,,,,,,,,,,,
Barco,Barco,113691,Argentina,2357,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/30/photo_FORMATO_InSGB54.png,1,0.5,Valentín Barco,0.0,4,5.08,4,barco,6,0.0,,,,,,,,,,1.0,,,,,,,,,,
Romo,Romo,113709,México,2360,0.0,True,https://s.sde.globo.com/media/person_role/2026/06/02/photo_FORMATO_ulsb4Fg.png,2,6.0,Luis Francisco Romo Barrón,5.3,4,6.32,4,romo,7,0.7,1.0,,,,,4.0,1.0,,1.0,1.0,,,,,,,,,,
Luis de la Fuente,L. Fuente,113735,Espanha,2326,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/13/photo_FORMATO_kScuWuu.png,4,8.83,Luis de la Fuente Castillo,11.4,6,11.81,4,luis-de-la-fuente,7,1.4,,,,,,,,,,,,,,,,,,,,3.0
Guiagon,Guiagon,113959,Costa do Marfim,2350,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/15/photo_FORMATO_6ezvaHY.png,0,0.0,Parfait Guiagon,0.0,4,5.0,4,guiagon,6,0.0,,,,,,,,,,,,,,,,,,,,
